Name	468_MeCP2_NTC - linear total RPKM	468_MeCP2_sh1 - linear total RPKM	468_MeCP2_sh3 - linear total RPKM
ACSL4	2.051	10.463	7.501
ACSL5	0.514	1.449	0.96
ACSL6	0.019	0.011	0.001
ACSL6-AS1	0	0	0
ACSM1	0.016	0.099	0.117
ACSM2A	0.001	0.007	0.006
ACSM2B	0.165	0.575	0.208
ACSM3	5.776	5.046	5.004
ACSM4	0	0.086	0.012
ACSM5	0	0	0
ACSM6	0	0.011	0.002
ACSS1	0.206	0.205	0.551
ACSS2	9.501	21.211	32.832
ACSS3	0.002	0	0
ACTA1	0.201	0.528	0.24
ACTA2	0.011	0.002	0.1
ACTA2-AS1	0.012	0.088	0.053
ACTB	506.483	3112.735	2745.537
ACTBL2	0.046	1.759	0.982
ACTC1	0.025	0.466	0.439
ACTG1	193.904	1109.803	934.621
ACTG2	0.142	0.25	0.099
ACTL6A	0.428	21.032	18.757
ACTL6B	0	0.001	0
ACTL7A	0.001	0.001	0
ACTL7B	0	0	0
ACTL8	0.034	0.016	0.022
ACTL9	0	0	0
ACTL10	0.674	1.512	1.538
ACTN1	28.231	114.625	112.359
ACTN1-AS1	0.024	0.031	0.018
ACTN2	0.001	0	0
ACTN3	0.053	0.037	0.076
ACTN4	54.568	244.286	218.211
ACTR1A	5.503	26.898	24.472
ACTR1B	7.329	22.243	24.443
ACTR2	16.127	99.716	91.83
ACTR3	13.137	69.239	54.754
ACTR3-AS1	1.436	1.898	2.065
ACTR3B	1.894	6.114	4.81
ACTR3C	9.104	7.482	7.772
ACTR5	1.905	4.761	3.724
ACTR6	2.3	12.67	9.163
ACTR8	6.454	7.376	7.302
ACTR10	5.356	21.82	19.041
ACTRT1	0	0	0
ACTRT2	0	0	0
ACTRT3	0.046	0.798	0.669
ACVR1	1.712	6.138	5.471
ACVR1B	1.21	5.433	4.789
ACVR1C	0.033	0.5	0.46
ACVR2A	1.4	2.86	2.219
ACVR2B	0.901	3.228	3.018
ACVR2B-AS1	5.033	4.643	4.471
ACVRL1	0	0	0.001
ACY1	0.942	0.161	0.005
ACY3	0.043	0.344	0.419
ACYP1	0.209	7.433	4.858
ACYP2	6.305	17.43	16.096
ADA	1.717	4.169	4.957
ADA2	0.001	0	0.001
ADAD1	0	0	0
ADAD2	0.001	0.008	0.001
ADAL	0.938	3.144	4.085
ADAM2	0	0	0
ADAM7	0	0	0
ADAM8	0.705	1.092	1.572
ADAM9	6.366	20.514	18.045
ADAM10	6.213	30.933	26.285
ADAM11	0.033	0.258	0.241
ADAM12	0.002	0	0.001
ADAM15	21.544	62.471	55.34
ADAM17	2.956	15.714	14.757
ADAM18	0	0	0
ADAM19	0	0	0
ADAM20	0.101	0.016	0.287
ADAM21	0.002	0.185	0.264
ADAM22	0.096	0.238	0.359
ADAM23	0.001	0	0
ADAM28	0.191	1.024	0.971
ADAM29	0	0.001	0.001
ADAM30	0	0	0
ADAM32	0.022	0.56	0.417
ADAM33	0.401	0.48	0.597
ADAMDEC1	0	0	0
ADAMTS1	0.726	2.775	2.738
ADAMTS2	1.897	1.569	1.704
ADAMTS3	0.013	0.488	0.212
ADAMTS4	0.039	0.451	0.187
ADAMTS5	0.001	0.008	0.061
ADAMTS6	0	0	0
ADAMTS7	0.27	0.486	0.661
ADAMTS8	0.009	0.001	0.05
ADAMTS9	0.001	0	0
ADAMTS9-AS1	0	0	0
ADAMTS9-AS2	0	0	0.001
ADAMTS10	0	0	0
ADAMTS12	0.006	0.01	0.046
ADAMTS13	0.537	1.499	1.462
ADAMTS14	0.022	0.282	0.312
ADAMTS15	0.001	0.001	0.001
ADAMTS16	0	0	0
ADAMTS17	1.605	3.483	4.973
ADAMTS18	0	0	0
ADAMTS19	0.001	0	0
ADAMTS19-AS1	0	0	0
ADAMTS20	0	0	0
ADAMTSL1	0.001	0	0
ADAMTSL2	0.001	0	0.001
ADAMTSL3	0	0	0
ADAMTSL4	0.269	0.883	0.882
ADAMTSL4-AS1	16.001	14.938	13.959
ADAMTSL4-AS2	0.032	0.493	0.62
ADAMTSL5	0.743	1.995	2.189
ADAP1	1.952	7.212	6.987
ADAP2	1.34	1.567	1.308
ADAR	8.859	50.988	33.757
ADARB1	1.841	2.51	2.839
ADARB2	0	0	0
ADARB2-AS1	0.002	0.195	0.208
ADAT1	2.943	17.302	13.409
ADAT2	1.181	5.739	5.395
ADAT3	2.164	3.269	3.642
ADCK1	0.86	3.943	3.16
ADCK2	4.058	10.639	10.773
ADCK5	1.993	6.36	7.464
ADCY1	0.045	0.155	0.139
ADCY2	0	0.001	0.001
ADCY3	3.451	11.383	14.177
ADCY4	0.01	0.006	0.044
ADCY5	0.001	0.001	0.001
ADCY6	2.9	9.389	8.64
ADCY6-DT	0.02	0.002	0.002
ADCY7	4.043	7.12	10.082
ADCY8	0	0.001	0
ADCY9	1.21	4.277	4.058
ADCY10	4.272	3.796	3.522
ADCYAP1	0.961	5.969	11.884
ADCYAP1R1	0	0	0
ADD1	3.029	19.512	14.999
ADD2	0.008	0	0
ADD3	0.13	4.224	3.37
ADD3-AS1	0.035	0.828	0.432
ADGB	0	0	0
ADGRA1	0	0	0
ADGRA1-AS1	0	0	0
ADGRA2	0.488	0.924	1.03
ADGRA3	2.048	4.795	5.663
ADGRB1	0.001	0.001	0.003
ADGRB2	0.608	3.771	3.492
ADGRB3	0	0	0
ADGRD1	0	0	0
ADGRD1-AS1	0	0	0
ADGRD2	0.001	0.001	0.008
ADGRE1	0	0	0
ADGRE2	3.653	3.761	4.905
ADGRE3	0.001	0.005	0.001
ADGRE5	6.749	33.153	31.345
ADGRF1	6.599	34.421	35.983
ADGRF2	0	0.009	0
ADGRF3	0.269	0.463	0.434
ADGRF4	0.058	0.148	0.355
ADGRF5	0.009	0.213	0.186
ADGRF5-AS1	0.785	1.026	0.918
ADGRG1	0.528	2.081	2.193
ADGRG2	0.018	0.138	0.044
ADGRG3	0.019	0.015	0.015
ADGRG4	0	0.001	0
ADGRG5	0	0	0
ADGRG6	0.956	7.383	6.872
ADGRG7	0.001	0	0.001
ADGRL1	9.956	43.459	37.096
ADGRL2	0.672	3.616	4.665
ADGRL3	0.001	0	0
ADGRL3-AS1	0	0	0
ADGRL4	0	0.001	0
ADGRV1	0.048	0.038	0.077
ADH1A	0.004	0.001	0.033
ADH1B	0.006	0.199	0.144
ADH1C	0.222	2.443	1.709
ADH4	0	0.002	0.007
ADH5	7.723	36.138	35.009
ADH6	0.018	0.066	0.1
ADH7	0	0	0
ADHFE1	0.039	1.054	0.821
ADI1	12.783	55.283	53.716
ADIG	0.002	0	0
ADIPOQ	0	0	0
ADIPOQ-AS1	5.416	4.578	4.642
ADIPOR1	14.828	71.86	52.193
ADIPOR2	3.016	13.358	10.266
ADIRF	6.711	29.556	38.029
ADK	9.273	44.759	40.922
ADM	1.343	14.024	11.517
ADM2	2.77	9.306	9.247
ADM5	0.582	1.198	1.202
ADNP	6.586	38.857	33.536
ADNP-AS1	3.519	5.255	5.425
ADNP2	1.853	10.026	8.758
ADO	4.152	13.37	14.852
ADORA1	3.216	11.976	9.587
ADORA2A	0	0.01	0.059
ADORA2A-AS1	1.944	2.103	1.919
ADORA2B	2.603	11.538	11.946
ADORA3	0	0	0
ADPGK	2.27	10.133	9.987
ADPGK-AS1	1.75	2.048	2.178
ADPRH	0.028	0.262	0.53
ADPRHL1	1.422	3.245	4.823
ADPRHL2	8.318	30.342	33.664
ADPRM	0.416	1.004	1.101
ADRA1A	8.519	7.048	7.053
ADRA1B	0.083	0.652	0.488
ADRA1D	0.058	0.008	0.001
ADRA2A	0	0.002	0
ADRA2B	0.063	0.777	0.899
ADRA2C	0.01	0.002	0.09
ADRB1	0.949	2.933	3.588
ADRB2	0.977	4.088	5.264
ADRB3	0	0	0
ADRM1	17.785	65.411	71.627
ADSL	8.295	32.215	30.921
ADSS1	0.582	1.677	1.216
ADSS2	9.064	47.59	30.338
ADTRP	0.019	0.01	0.132
AEBP1	0.094	0.176	0.153
AEBP2	3.942	7.852	7.215
AEN	2.399	9.501	8.502
AFAP1	1.663	9.836	8.94
AFAP1-AS1	8.962	10.7	11.669
AFAP1L1	0.967	5.168	7.676
AFAP1L2	0.169	0.178	0.466
AFDN	14.635	28.156	26.541
AFDN-DT	2.293	1.679	2.073
AFF1	1.519	7.035	4.99
AFF1-AS1	19.118	16.911	16.736
AFF2	0	0	0
AFF3	0	0	0.001
AFF4	5.344	27.272	25.412
AFG1L	0.663	2.746	2.339
AFG3L2	16.577	48.012	48.179
AFM	0	0	0
AFMID	0.314	11.337	11.197
AFP	0	0	0
AFTPH	2.796	14.391	11.7
AGA	2.409	9.147	8.804
AGAP1	7.995	28.805	20.377
AGAP1-IT1	0.117	2.101	2.277
AGAP2	0.128	0.092	0.011
AGAP2-AS1	0.374	1.654	1.938
AGAP3	9.82	24.895	23.521
AGAP4	0.16	0.59	0.409
AGAP5	0.223	1.95	3.441
AGAP6	0.08	0.605	0.48
AGAP9	0.232	0.924	0.855
AGAP11	0.136	2.113	1.809
AGBL1	0.006	0.005	0
AGBL1-AS1	0	0.001	0
AGBL2	0.383	0.513	0.617
AGBL3	12.829	10.164	10.439
AGBL4	2.923	2.267	2.461
AGBL4-AS1	0.001	0	0.101
AGBL4-IT1	0	0	0
AGBL5	5.156	13.634	13.498
AGBL5-AS1	0	0.002	0.001
AGER	0.127	3.751	3.084
AGFG1	7.967	46.561	46.074
AGFG2	2.827	7.052	6.924
AGGF1	1.904	8.481	7.543
AGK	2.176	8.329	7.467
AGL	1.942	12.351	10.151
AGMAT	0.789	1.125	1.215
AGMO	0.002	0	0
AGO1	3.976	22.394	22.282
AGO2	7.565	39.616	31.157
AGO3	1.647	14.154	12.776
AGO4	8.159	10.282	8.049
AGPAT1	8.984	36.696	37.914
AGPAT2	9.643	30.048	36.117
AGPAT3	7.992	17.983	18.2
AGPAT4	0.015	0.145	0.079
AGPAT4-IT1	1.036	0.972	0.917
AGPAT5	3.921	20.643	18.776
AGPS	1.813	9.427	9.501
AGR2	2.314	16.531	18.494
AGR3	0	0.003	0
AGRN	62.861	174.807	173.777
AGRP	0.003	0.003	0.289
AGT	0.194	0.336	0.01
AGTPBP1	1.059	7.523	5.254
AGTR1	0	0	0
AGTR2	0.002	0.131	0.015
AGTRAP	0.355	14.299	13.277
AGXT	0.001	0.001	0.001
AGXT2	0	0	0
AHCTF1	7.44	20.749	14.724
AHCY	12.3	54.567	49.798
AHCYL1	15.034	60.295	63.982
AHCYL2	2.059	5.613	5.16
AHDC1	2.272	8.412	8.018
AHI1	2.95	3.064	2.83
AHNAK	35.294	171.109	180.357
AHNAK2	0.918	3.187	6.682
AHR	9.912	66.866	63.658
AHRR	0.196	0.549	0.732
AHSA1	13.202	44.543	37.622
AHSG	0	0	0
AHSP	0	0	0
AICDA	0	0	0
AIDA	8.315	22.312	16.287
AIF1	0.023	0	0.002
AIF1L	6.541	34.314	35.712
AIFM1	7.122	37.431	35.411
AIFM2	1.239	3.81	5.466
AIFM3	1.058	1.415	1.653
AIG1	15.76	25.147	20.493
AIM2	1.518	1.271	1.174
AIMP1	4.577	22.087	21.606
AIMP2	18.472	61.055	56.204
AIP	27.2	64.556	68.284
AIPL1	0	0	0
AIRE	0.005	0	0
AIRN	0.03	0.251	0.137
AJAP1	0.001	0	0
AJM1	0.99	2.285	2.225
AJUBA	7.158	18.302	20.371
AK1	5.516	26.971	27.155
AK2	36.21	102.951	86.572
AK3	2.303	4.166	4.478
AK4	8.85	46.741	42.371
AK5	1.043	20.185	12.64
AK6	2.564	16.407	15.84
AK7	0.218	0.16	0.275
AK8	0.021	0.409	0.175
AK9	0.373	2.051	1.472
AKAIN1	0	0	0
AKAP1	3.875	13.716	11.786
AKAP3	0	0.102	0.001
AKAP4	0	0	0
AKAP5	0.047	0.516	0.792
AKAP6	0.072	1.602	1.254
AKAP7	0.747	5.355	3.762
AKAP8	8.703	19.558	18.902
AKAP8L	11.755	29.889	22.922
AKAP9	1.084	6.576	5.479
AKAP10	2.3	5.959	7.135
AKAP11	1.044	7.35	6.22
AKAP12	0.011	0.035	0.001
AKAP13	2.42	10.178	10.382
AKAP14	0.029	0.002	0
AKAP17A	1.77	2.89	3.242
AKAP17A	1.77	2.89	3.242
AKIP1	16.757	17.902	18.649
AKIRIN1	31.249	56.962	57.662
AKIRIN2	4.443	21.227	18.21
AKNA	0.719	1.149	1.26
AKNAD1	0	0	0.001
AKR1A1	9.691	35.743	32.083
AKR1B1	6.329	10.485	26.512
AKR1B10	12.204	5.477	8.148
AKR1B15	5.644	12.725	10.927
AKR1C1	51.663	249.41	180.386
AKR1C2	44.814	214.864	177.69
AKR1C3	1.209	2.415	0.979
AKR1C4	0.884	5.926	0.188
AKR1D1	0	0	0.001
AKR1E2	0.687	3.973	2.332
AKR7A2	4.901	21.04	21.506
AKR7A3	0.814	1.089	1.237
AKT1	12.125	31.311	29.536
AKT1S1	20.57	32.602	26.482
AKT2	12.188	50.601	43.514
AKT3	4.1	24.358	19.888
AKTIP	4.799	21.433	20.464
ALAD	29.481	24.216	24.119
ALAS1	4.074	15.096	14.272
ALAS2	0.002	0.01	0.001
ALB	0	0	0.001
ALCAM	6.922	54.311	31.645
ALDH1A1	0.161	0.002	0.015
ALDH1A2	0.125	0.014	0
ALDH1A3	34.409	66.026	94.892
ALDH1B1	5.797	15.305	11.723
ALDH1L1	0.001	0.001	0.005
ALDH1L1-AS1	0	0	0
ALDH1L1-AS2	0	0	0
ALDH1L2	7.741	8.985	10.009
ALDH2	4.493	18.585	24.748
ALDH3A1	1.446	4.621	22.095
ALDH3A2	10.589	27.109	42.132
ALDH3B1	10.177	14.041	17.476
ALDH3B2	18.706	36.013	30.478
ALDH4A1	6.182	16.103	18.099
ALDH5A1	2.453	11.371	11.936
ALDH6A1	1.19	5.664	4.373
ALDH7A1	7.028	46.889	45.335
ALDH8A1	0.211	0.18	0.29
ALDH9A1	2.671	23.292	18.461
ALDH16A1	16.364	23.321	24.066
ALDH18A1	3.343	17.587	15.848
ALDOA	101.21	375.831	339.232
ALDOB	0	0	0.001
ALDOC	0.205	0.026	0.167
ALG1	2.435	8.523	7.712
ALG1L	0.034	0.564	0.356
ALG1L2	0.352	0.827	1.507
ALG2	5.344	9.873	10.92
ALG3	7.265	29.903	24.472
ALG5	1.776	6.233	7.887
ALG6	1.893	8.747	7.983
ALG8	7.968	21.267	19.534
ALG9	9.664	9.118	8.965
ALG10	0.09	2.658	2.659
ALG10B	0.054	1.052	1.202
ALG11	9.337	11.74	10.546
ALG12	6.442	12.084	11.007
ALG13	1.774	9.675	9.506
ALG14	15.97	15.533	15.473
ALG14-AS1	0.019	0.16	0.152
ALK	0.056	0.001	0
ALKAL1	0.002	0	0
ALKAL2	0.746	2.244	1.66
ALKBH1	0.767	1.696	1.892
ALKBH2	3.747	12.89	9.941
ALKBH3	3.089	17.404	20.73
ALKBH3-AS1	0.028	0.643	0.69
ALKBH4	3.674	8.114	7.812
ALKBH5	9.604	35.257	35.906
ALKBH6	4.873	13.885	12.233
ALKBH7	10.964	24.317	27.06
ALKBH8	0.148	3.684	2.683
ALLC	0	0	0
ALMS1	1.491	7.208	6.01
ALMS1-IT1	3.292	4.811	4.841
ALOX5	0.449	0.44	0.521
ALOX5AP	0	0.002	0
ALOX12	0.049	0.973	0.41
ALOX12-AS1	2.574	2.492	2.947
ALOX12B	0.008	0.001	0.001
ALOX15	0.059	0.562	0.897
ALOX15B	0.001	0	0
ALOXE3	0.006	0.011	0.001
ALPG	2.199	2.17	7.337
ALPI	0	0	0
ALPK1	0.105	2.522	2
ALPK2	0	0	0.001
ALPK3	0.458	1.364	1.546
ALPL	0	0	0
ALPP	11.429	17.094	58.372
ALS2	1.815	10.04	8.77
ALS2CL	3.191	4.719	4.449
ALX1	0	0	0
ALX3	1.249	5.802	4.675
ALX4	0.032	0.276	0.002
ALYREF	31.852	88.21	87.006
AMACR	0.101	1.783	2.308
AMBN	0	0	0
AMBP	0	0	0
AMBRA1	14.936	17.589	16.951
AMD1	4.697	49.583	45.745
AMDHD1	0.023	0.389	0.782
AMDHD2	3.06	6.395	6.757
AMELX	0	0	0
AMELY	0	0	0
AMER1	1.506	4.588	4.007
AMER2	0.001	0	0.001
AMER3	0	0	0
AMFR	13.896	51.595	51.858
AMH	7.835	12.82	16.28
AMHR2	0	0	0.001
AMIGO1	0.141	2.929	1.733
AMIGO2	0.82	5.209	7.932
AMIGO3	1.252	3.528	2.942
AMMECR1	6.247	18.614	15.639
AMMECR1L	2.732	10.718	10.293
AMN	0.534	0.221	1.284
AMN1	0.792	5.217	4.292
AMOT	6.42	30.866	27.293
AMOTL1	3.837	21.918	22.754
AMOTL2	20.519	56.654	64.323
AMPD1	0	0.002	0
AMPD2	3.014	14.023	12.796
AMPD3	0.198	0.746	0.625
AMPH	0	0	0
AMT	0.55	1.493	1.161
AMTN	0	0.002	0
AMY1A	0.001	0.001	0.001
AMY1B	0.001	0.001	0.001
AMY1C	0.001	0.001	0.001
AMY2A	0	0	0
AMY2B	0.011	0.569	0.348
AMZ1	0.035	0.424	0.618
AMZ2	2.987	5.473	5.126
ANAPC1	2.457	9.74	9.879
ANAPC2	4.002	12.149	11.954
ANAPC4	1.558	7.36	7.316
ANAPC5	4.945	20.034	19.644
ANAPC7	17.39	27.575	24.444
ANAPC10	0.29	6.527	5.549
ANAPC11	16.185	92.065	86.885
ANAPC13	5.047	24.568	23.051
ANAPC15	4.253	14.808	14.167
ANAPC16	55.656	70.275	71.96
ANG	0.021	0.574	0.018
ANGEL1	4.164	4.957	3.769
ANGEL2	10.508	12.096	10.879
ANGPT1	0.015	0.655	0.371
ANGPT2	0.031	0.452	0.463
ANGPT4	0.001	0.072	0
ANGPTL1	0.035	0.571	0.417
ANGPTL2	0.284	0.345	0.379
ANGPTL3	0.022	0.203	0.172
ANGPTL4	0.069	0.352	0.344
ANGPTL5	0	0	0
ANGPTL6	1.106	4.025	3.437
ANGPTL7	0.038	0.528	0.47
ANGPTL8	0.044	0.032	0.283
ANHX	0	0	0
ANK1	0.003	0.069	0.011
ANK2	0.001	0.001	0
ANK2-AS1	0.087	0.106	0.243
ANK3	0.558	1.902	1.508
ANK3-DT	0	0.102	0.002
ANKAR	0.43	0.518	0.462
ANKDD1A	0.033	0.303	0.271
ANKDD1B	0.002	0.009	0.014
ANKEF1	0.605	3.396	2.955
ANKFN1	0	0	0
ANKFY1	2.259	11.19	10.167
ANKH	3.717	22.142	22.46
ANKHD1	7.246	22.673	15.944
ANKHD1-EIF4EBP3	1.326	8.693	6.951
ANKIB1	2.168	14.421	12.746
ANKK1	0.001	0.012	0.007
ANKLE1	11.747	10.973	10.712
ANKLE2	8.969	14.58	16.8
ANKMY1	2.776	5.116	5.676
ANKMY2	2.67	15.94	17.051
ANKRA2	0.089	2.653	1.716
ANKRD1	0.078	4.435	1.206
ANKRD2	0.032	0.978	1.161
ANKRD6	0.006	0.489	0.267
ANKRD7	0	0	0
ANKRD9	6.898	9.379	12.288
ANKRD10	14.637	54.044	53.545
ANKRD11	25.781	66.283	67.692
ANKRD12	2.054	14.378	10.892
ANKRD13A	5.197	12.735	14.05
ANKRD13B	1.898	4.542	4.552
ANKRD13C	3.652	28.266	14.124
ANKRD13D	3.849	12.653	10.736
ANKRD16	1.305	2.993	4.657
ANKRD17	4.393	25.291	19.606
ANKRD18A	3.375	5.512	4.263
ANKRD18B	0.028	0.437	0.603
ANKRD20A1	0.008	0.052	0.006
ANKRD20A2	0.024	0.086	0.058
ANKRD20A3	0.39	0.907	1.163
ANKRD20A4	0	0	0
ANKRD20A4-ANKRD20A20P	0.14	0.966	0.617
ANKRD22	0.029	0.931	0.216
ANKRD23	1.123	3.191	2.576
ANKRD24	0.065	0.196	0.159
ANKRD26	0.603	3.982	3.616
ANKRD27	4.994	19.505	18.393
ANKRD28	1.889	9.168	9.102
ANKRD29	1.782	1.506	1.703
ANKRD30A	1.242	0.833	0.956
ANKRD30B	3.826	3.558	3.39
ANKRD30BL	1.126	1.527	1.594
ANKRD31	0.001	0.051	0.005
ANKRD33	0	0.002	0
ANKRD33B	2.216	3.962	6.222
ANKRD34A	0.023	0.188	0.246
ANKRD34B	0.011	0.018	0.012
ANKRD34C	0	0.001	0
ANKRD34C-AS1	0	0	0
ANKRD35	0.001	0.001	0.001
ANKRD36	3.756	4.852	4.468
ANKRD36B	4.526	8.892	6.356
ANKRD36C	0.82	5.572	3.831
ANKRD37	0.047	0.504	0.536
ANKRD39	3.542	10.67	8.82
ANKRD40	0.231	9.089	7.902
ANKRD40CL	0	0	0.002
ANKRD42	11.844	11.798	11.37
